Latitude,Longitude,Date,Address,Zip
43.0534398292,-76.1276576762,2011-12-02T00:00:00Z,325 North Beech St.,13203
43.037093972,-76.1571156836,2011-12-01T00:00:00Z,175 Lincoln Ave,13204
43.0422940191,-76.1620828611,2011-11-29T00:00:00Z,347 Seymour St.,13204
43.0698453611,-76.1135036038,2011-11-22T00:00:00Z,North Ave. & Arnett St.,13206
43.0698453611,-76.1135036038,2011-11-21T00:00:00Z,North Ave. & Arnett St.,13206
43.0744549067,-76.1342392673,2011-11-15T00:00:00Z,257 Pleasant View Ave.,13208
43.06348642,-76.155381222,2011-11-09T00:00:00Z,940 North Salina St.,13208
43.0547953433,-76.1512361258,2011-11-08T00:00:00Z,Pearl St. & East Belden Ave.,13203
43.0427580993,-76.1501740624,2011-11-07T00:00:00Z,East Adams St. & Harrison Pl.,13202
43.0412252077,-76.0824241414,2011-11-05T00:00:00Z,Manor Dr. & Barrington Rd.,13214
43.0796559485,-76.1603582987,2011-11-01T00:00:00Z,825 E. Hiawatha Blvd.,13208
43.0796559485,-76.1603582987,2011-10-31T00:00:00Z,825 E. Hiawatha Blvd.,13208
43.0386005089,-76.1105004516,2011-10-28T00:00:00Z,Scottholm Ter. & Sunnyside Rd.,13224
43.0362368504,-76.1126553993,2011-10-26T00:00:00Z,539 Cumberland Ave.,13210
43.0653692204,-76.0893203366,2011-10-25T00:00:00Z,128 Conklin Ave.,13206
43.0635922624,-76.1572546424,2011-10-22T00:00:00Z,Union Pl.,13208
43.0008221708,-76.1301715503,2011-10-20T00:00:00Z,124 LaFayette Rd.,13205
43.0355767726,-76.1453885104,2011-10-18T00:00:00Z,Truth Ter. & Oakwood Ave.,13202
43.0647952561,-76.0903587347,2011-10-14T00:00:00Z,301 Boston St.,13206
43.0378379027,-76.1499034779,2011-10-05T00:00:00Z,1000 South Salina St.,13202
43.0339907898,-76.1520104665,2011-10-02T00:00:00Z,100 Oxford Rd.,13202
43.046821382,-76.1351982267,2011-09-28T00:00:00Z,1060 East Genesee St.,13210
43.0521141768,-76.1325171731,2011-09-28T00:00:00Z,Lodi St. & Burnet Ave.,13203
